product_name,supplier,price,currency,timestamp
Hydrating Face Serum,Sephora,42.99,USD,2025-01-05T10:15:32Z
Vitamin C Essence,YesStyle,21.50,USD,2025-01-05T11:03:18Z
Cleansing Foam,Sukoshi Mart,14.99,CAD,2025-01-05T11:47:55Z
Lip Tint Set,Stylevana,18.75,USD,2025-01-05T12:22:41Z
Sunscreen SPF 50,Olive Young,23.00,USD,2025-01-05T13:05:09Z
Sheet Mask Pack,Kiokii &,12.49,CAD,2025-01-05T13:48:26Z
Moisturizing Cream,Shoppers Drug Mart,19.99,CAD,2025-01-05T14:30:02Z
Hair Treatment Oil,Lamour,27.95,USD,2025-01-05T15:12:44Z
Makeup Brush Set,Amazon,16.80,USD,2025-01-05T15:58:11Z
Eye Cream,Oomomo,11.25,CAD,2025-01-05T16:41:37Z
Toner Pad Pack,Axia Station,24.60,USD,2025-01-05T17:19:53Z
Lip Sleeping Mask,Shein,9.99,USD,2025-01-05T18:02:08Z
Facial Cleanser Gel,Cosme,17.40,USD,2025-01-05T18:45:29Z
Clay Face Mask,Kiyoko Beauty,22.00,USD,2025-01-05T19:27:46Z
Compact Powder,Komiko Beauty,29.50,USD,2025-01-05T20:10:12Z
